WeightNotOver_Lbs,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
47,145.25,135.2,178.95,235,153.5,204.95,279.9,199.5,178.65,249.1,179.3,171.8,153.75,183.35,197.95,138.55,0
48,147.8,137.25,181.9,239.15,155.95,208.5,285.15,202.95,181.6,253.65,182.05,174.55,156.2,186.3,201.5,140.6,0
49,150.35,139.3,184.85,243.3,158.4,212.05,290.4,206.4,184.55,258.2,184.8,177.3,158.65,189.25,205.05,142.65,0
50,152.9,141.35,187.8,247.45,160.85,215.6,295.65,209.85,187.5,262.75,187.55,180.05,161.1,192.2,208.6,144.7,0
51,155.45,143.4,190.75,251.6,163.3,219.15,300.9,213.3,190.45,267.3,190.3,182.8,163.55,195.15,212.15,146.75,0
52,158,145.45,193.7,255.75,165.75,222.7,306.15,216.75,193.4,271.85,193.05,185.55,166,198.1,215.7,148.8,0
53,160.55,147.5,196.65,259.9,168.2,226.25,311.4,220.2,196.35,276.4,195.8,188.3,168.45,201.05,219.25,150.85,0
54,163.1,149.55,199.6,264.05,170.65,229.8,316.65,223.65,199.3,280.95,198.55,191.05,170.9,204,222.8,152.9,0
55,165.65,151.6,202.55,268.2,173.1,233.35,321.9,227.1,202.25,285.5,201.3,193.8,173.35,206.95,226.35,154.95,0
56,168.2,153.65,205.5,272.35,175.55,236.9,327.15,230.55,205.2,290.05,204.05,196.55,175.8,209.9,229.9,157,0
57,170.75,155.7,208.45,276.5,178,240.45,332.4,234,208.15,294.6,206.8,199.3,178.25,212.85,233.45,159.05,0
58,173.3,157.75,211.4,280.65,180.45,244,337.65,237.45,211.1,299.15,209.55,202.05,180.7,215.8,237,161.1,0
59,175.85,159.8,214.35,284.8,182.9,247.55,342.9,240.9,214.05,303.7,212.3,204.8,183.15,218.75,240.55,163.15,0
60,178.4,161.85,217.3,288.95,185.35,251.1,348.15,244.35,217,308.25,215.05,207.55,185.6,221.7,244.1,165.2,0
61,180.95,163.9,220.25,293.1,187.8,254.65,353.4,247.8,219.95,312.8,217.8,210.3,188.05,224.65,247.65,167.25,0
62,183.5,165.95,223.2,297.25,190.25,258.2,358.65,251.25,222.9,317.35,220.55,213.05,190.5,227.6,251.2,169.3,0
63,186.05,168,226.15,301.4,192.7,261.75,363.9,254.7,225.85,321.9,223.3,215.8,192.95,230.55,254.75,171.35,0
64,188.6,170.05,229.1,305.55,195.15,265.3,369.15,258.15,228.8,326.45,226.05,218.55,195.4,233.5,258.3,173.4,0
65,191.15,172.1,232.05,309.7,197.6,268.85,374.4,261.6,231.75,331,228.8,221.3,197.85,236.45,261.85,175.45,0
66,193.7,174.15,235,313.85,200.05,272.4,379.65,265.05,234.7,335.55,231.55,224.05,200.3,239.4,265.4,177.5,0
67,0,176.2,237.95,318,202.5,275.95,384.9,268.5,237.65,0,0,0,0,0,0,179.55,0
68,0,178.25,240.9,322.15,204.95,279.5,390.15,271.95,240.6,0,0,0,0,0,0,181.6,0
69,0,180.3,243.85,326.3,207.4,283.05,395.4,275.4,243.55,0,0,0,0,0,0,183.65,0
70,0,182.35,246.8,330.45,209.85,286.6,400.65,278.85,246.5,0,0,0,0,0,0,185.7,0
